ID;Odpowiedzi
1;Z dupy do ust.
2;Za dużo koki.
3;Zachodnie standardy piękna.
4;Zaciśnięte pośladki.
5;Zajebisty statek kosmiczny.
6;Zajebiście dobra solówka.
7;Zamknięcie ryja.
8;Zapanowanie nad niedźwiedziem grizzly i uczynienie go swoją żoną.
9;Zaprzyjaźnienie się.
10;Zaskakująca ilość włosów.
11;Zatrzaśnięcie penisa w pułapce na myszy z innym penisem.
12;Zawiedzenie wszystkich.
13;Zbliżający się korek uliczny.
14;Zdejmowanie świętego Mikołaja rakietą ziemia-powietrze.
15;Złowieszcza muzyka w tle.
16;Zły człowiek w diabolicznym garniaku.
17;Zmienianie poglądów innych wykorzystując logikę i fakty.
18;Zmyślanie statystyk.
19;Znalezienie szkieletu.
20;Zrobienie dobrze kilku gościom w ciemnej alejce.
21;Zrobienie sobie kuku.
22;Za dużo żelu we włosach.
23;Za gorąca zupa.
24;Zabawa w wampira podczas miesiączki.
25;Zamrażarka pełna organów.
26;Zajęcia integracyjne.
27;Zabłąkany włos łonowy.
28;Zastawianie pułapek na złodziei.
29;Zaspany Lew w ZOO.
30;Zażywanie Krokodyla.
31;Zapach starych ludzi.
32;Zbilansowane śniadanie.
33;Zdjęcia piersi.
34;Zerknięcie.
35;Zespół Feel.
36;Zielsko / Jaranie / Palenie / Trawa / Ganja.
37;Ziołowe tabletki na problemy z potencją.
38;Złe decyzje życiowe.
39;Złoty deszcz.
40;Zmazy nocne.
41;Znajomi wyjadający całą zagrychę.
42;Znośni transwestyci.
43;Złoty łańcuch.
44;Zostawianie kłopotliwych wiadomości na poczcie głosowej.
45;Zrzucane żyrandolu na przeciwników i wjeżdżanie do góry po linie.
46;Zostanie prezydentem Stanów Zjednoczonych.
47;Zapuszkowanie większej ilości czarnych ludzi w więzieniu.
48;Żadnych ubrań, penis w pochwie.
49;Żałosna gra wstępna.
50;Żółw jaszczurowaty gryzący cię w końcówkę penisa.
51;Żydzi.
52;Jak niesamowity jestem.
53;Jakiś fagas z gitarą akustyczną.
54;Jakiś tam Azjata.
55;Janusz.
56;Jarosław Boberek.
57;Jeden, by wszystkimi rządzić.
58;Jedzenie albinosa.
59;Jedzenie wąsów Chucka Norrisa aby zdobyć jego umiejętności.
60;Jeszcze jedna dawka morfiny.
61;Język.
62;Jadalna bielizna.
63;Janusz Korwin-Mikke.
64;Jarosław Kaczyński.
65;Jądra.
66;Jej wysokość, Królowa Elżbieta II.
67;Jezioro łabędzie.
68;Jessica, bejbi pliss dont brejk maj hart.
69;Józef Piłsudski.
70;Justin Bieber.
71;Jezus jest odpowiedzią na każde pytanie.
72;Jak bardzo jestem zajebisty.
73;Geje z innej planety.
74;Genetycznie zaprojektowani super żołnierze.
75;Gigantyczna sperma z kosmosu.
76;Głupi penis mojego chłopaka.
77;Głupia, pieprzona twarz mojego ojca.
78;Google.
79;Gorączka disco.
80;Gospodarka.
81;Gówno prawda.
82;Gramatyczni naziści, którzy również są zwykłymi nazistami.
83;Grupa ludzi uprawiających seks na łyżeczkę.
84;Gułagi.
85;Gadanie głupot.
86;Gandhi.
87;Gąbka pełna kocich sików.
88;Gej party.
89;Generał Wojciech Jaruzelski.
90;Globalne ocieplenie.
91;Głęboko upośledzeni.
92;Głos Krystyny Czubówny.
93;Gobliny.
94;Guz mózgu.
95;Gwałt na randce.
96;Gwałtowna powódź.
97;Gwiazdy Porno.
98;Gwałt zbiorowy.
99;Granie na komputerze w chowanego.
100;Gra o tron.
101;Gałąź.
102;Grupa idiotów grających w grę karcianą, zamiast rozmawiających ze sobą jak normalni ludzie.
103;Rekiny z nogami.
104;Rekonstrukcja bitwy pod Grunwaldem.
105;Reprezentacja polskich polityków w piłce nożnej.
106;"Reprodukcja serialu ""Wiedźmin"" tylko i wyłącznie z aktorami-karłami."
107;Retrospekcje wojenne.
108;Rewizjonizm historyczny.
109;Rodowity Amerykanin, który rozwiązuje zbrodnie przechodząc do świata duchów.
110;Ropa naftowa.
111;Rosyjska super-gruźlica.
112;Rozczarowująca sałatka.
113;Rozdziewiczanie księżniczki.
114;Rozerwanie klatki piersiowej mężczyzny i wyciąganie wciąż bijącego serca.
115;Rozkminianie jak uprawiać seks z delfinem.
116;Rozmiar mojego penisa.
117;Ruch taneczny, który jest po prostu pozycją seksualną.
118;Ryan Gosling wjeżdżający na białym koniu.
119;Ryszard Kalisz trzymający saksofon leżąc nago na niedźwiedziej skórze.
120;Rzewny płacz podczas czytania Harlequina.
121;Rzyganie w trakcie lodzika.
122;Rasizm.
123;Robert Burneika.
124;RoboCop.
125;Robienie smutnej minki.
126;Rodzenie kamienia nerkowego.
127;Rolnictwo.
128;Rozbieranie się do naga i oglądanie Cartoon Network.
129;Rozczarowujące przyjęcie urodzinowe.
130;Rycerskość.
131;Rzut karłem.
132;Rasowo czysta Europa.
133;Rzucam wszystko w cholerę i wyjeżdżam w Bieszczady.
134;Rzucanie kamieniami w człowieka, dopóki nie umrze.
135;Rzucanie kamieniami w dinozaury.
136;Kariera aktorska Przemysława Salety.
137;Karty przeciwko ludzkości.
138;Kaszaloty.
139;Katapulty.
140;Kazirodztwo.
141;Kim Jong-il.
142;Kobiece prawa wyborcze.
143;Kobiety w reklamach jogurtów.
144;Kolesie którzy nie dzwonią później do dziewczyn poznanych na imprezie.
145;Kolejny, cholerny film z wampirami.
146;Kolczyki do sutków.
147;Kochanie się w tyłek.
148;Komórki macierzyste.
149;Kompleks Edypa.
150;Konina.
151;Konsultanci.
152;Konwulsyjnie wymiotujący Kuba Wojewódzki podczas gdy chmara pająków wylęga się w jego mózgu i eksploduje z kanalików łzowych.
153;Koraliki analne.
154;Kozy pożerające śmieci.
155;Krasnoludki.
156;Krew Chrystusa.
157;Ku Klux Klan.
158;Kuba Wojewódzki nękany przez rój myszołowów.
159;Kuba Wojewódzki zaczepiony moszną o haczyk od zasłony.
160;Karta płatnicza Tatusia.
161;Kaszlenie do waginy.
162;Katastrofalny uraz cewki moczowej.
163;Kucyk.
164;Kichanie, pierdzenie i dochodzenie w tym samym czasie.
165;Kiłowe szaleństwo.
166;Kleks ze śmietany.
167;Kolacja wigilijna z mrożonek.
168;"Kolacja z kartonowymi postaciami z ""Przyjaciół""."
169;Konwenty.
170;Koń bez nóg.
171;Kopytko.
172;Korporacje.
173;Korpokurwy.
174;Kosmiczne babeczki.
175;Kot skurwiel.
176;Kradzież kobiecych majtek.
177;Kraina czekolady.
178;Krwawa ścieżka z szablą przez LIDL.
179;Krwawy bąk.
180;Krzyczenie jak wariat.
181;Kupka.
182;Kupowanie odpowiednich spodni by być lubianym.
183;Krzyki Te przeraźliwe krzyki.
184;Karabiny.
185;Kobieca racja.
186;Krojenie szynki w mrożącej ciszy.
187;Kanapka.
188;Kobieca perspektywa.
189;Viagra®.
190;X-Men którego mocą jest to, że uprawiał seks z psami i dziećmi.
191;"Uduchowione wydanie ""Dni, których nie znamy""."
192;Ugandyjski wódz plemienny.
193;Umieranie w samotności i bólu.
194;Upływ czasu.
195;Używanie przepychacza do kibla na twarzy.
196;Ubrudzenie się.
197;Uczciwy gliniarz z niczym do stracenia.
198;Uczenie robota miłości.
199;Udawane współczucie.
200;Ukrywanie wzwodu.
201;Upijanie się płynem do spryskiwaczy.
202;Uwodzenie.
203;Używanie wspólnej strzykawki.
204;Umieranie.
205;Ucieczka z psychiatryka.
206;Uprawianie seksu z piękną osobą.
207;Uderzenie staruszki-rasistki.
208;Uczenie twojej dziewczyny jak obciągać.
209;Ubieranie garnituru i okularów, tylko po to, żeby wyglądać mądrzej.
210;Latające roboty, które zabijają ludzi.
211;Lekkoatletyka.
212;Liczenie całek na liczydle.
213;Loki, bóg szachraj.
214;Lady Gaga.
215;Laktacja.
216;Lech Wałęsa.
217;Leczenie homoseksualizmu.
218;Leki na ADHD.
219;Liczne rany kłute.
220;Lobotomia szpikulcem do lodu.
221;Ludzie zawsze psujący dobrą zabawę.
222;Ludzka głupota.
223;Ludzie z księżyca.
224;Łożysko.
225;Łagodny autyzm.
226;Łaskotanie moszny.
227;Łysy grubas z internetów.
228;Łechtaczka.
229;40-latek na rolkach.
230;2 girls 1 cup.
231;72 dziewice.
232;10 niesamowitych faktów o odbycie.
233;11 09 2001.
234;24-godzinna relacja na żywo.
235;4chan.
236;55-litrowa beczka lubrykantu.
237;50,000 Voltów przyłożone do sutków.
238;8 gramów słodkiej meksykańskiej czarnej heroiny.
239;10 milionów żydów i jeden dentysta.
240;Macanie.
241;Moje pole.
242;Mahomet (Chwała mu po wieczne czasy).
243;Malowanie palcami.
244;Małpa paląca cygara.
245;Martwe niemowlęta.
246;Martwi rodzice.
247;Masturbacja.
248;Menstruacja.
249;Mechaniczny Hitler.
250;Mazurek.
251;Materac z TV Mango.
252;Męska Pała.
253;Metamfetamina.
254;Mężczyźni.
255;Michael Jackson.
256;Mikro penis.
257;Mim w trakcie zawału.
258;Ministranci.
259;Minuta ciszy.
260;Miny lądowe.
261;Mleczarz.
262;Mleko w tubce.
263;Młyn pełen trupów.
264;Moc Jedi.
265;Mocne sztachnięcie.
266;Moja dusza.
267;Moja dziewczyna.
268;Moja kolekcja nowoczesnych gadżetów erotycznych.
269;Moja mama.
270;Moja pochwa.
271;Moje genitalia.
272;Moje wewnętrzne demony.
273;Moje życie seksualne.
274;Mokry bąk.
275;Mordowanie, palenie, gwałcenie.
276;Morze problemów.
277;Mój chłopak.
278;Murzyni.
279;Magda Gessler.
280;Maksymalna penetracja.
281;Malutka, słabiutka rączka.
282;Malutkie sutki.
283;Małże.
284;Małpy z AIDS.
285;Męski odbyt.
286;Mężczyzna w spodniach do jogi z kucykiem i kolczykami z piór.
287;Michał Piróg.
288;Mieszanie ras.
289;Mieszkanie w koszu na śmieci.
290;Moja pierwsza miesiączka.
291;Moja maczeta.
292;Międzyrasowy uścisk dłoni.
293;Międzyrasowe małżeństwo.
294;Moje pierwsze zabójstwo.
295;Moralna dwuznaczność.
296;Mój bezwartościowy syn.
297;Mój loch seksu.
298;Mój sługa, Czarek.
299;Muczenie.
300;Myśli samobójcze.
301;Mały palec u lewej stopy po prawej stronie.
302;Mieszanie M&M-sów I Skittlesów jak jakiś swojego rodzaju psychopata.
303;Myśli geja.
304;Matematyka.
305;Adidas.
306;Afrykańskie dzieci.
307;Aktywne słuchanie.
308;Anna Mucha.
309;Arnold Schwarzenegger.
310;Auschwitz.
311;Arachnofobia.
312;Adolf Hitler.
313;Awansowanie na następny poziom.
314;Apetyczni chłopcy niewolnicy.
315;Albański pastuch.
316;Armia szkieletów.
317;Afryka.
318;Alkoholowy zespół płodowy.
319;Alimenty.
320;Ali Baba i czterdziestu rozbójników.
321;Alkoholizm.
322;Amerykańscy gladiatorzy.
323;Amerykański sen.
324;Ataki dinozaurów.
325;Amputanci.
326;Andrzej Grabowski.
327;Autokanibalizm.
328;Adam Słodowy.
329;Amisze.
330;Alternatywna historia w której Hitler był gejem, ale nadal zabił tych wszystkich ludzi.
331;Ta cała krew.
332;Ta szalona rzecz zwana miłością.
333;Taki słodki filmik z kotem, że twoje oczy potoczą się wzdłuż kręgosłupa i wyjdą z odbytu.
334;Tarta.
335;Te właściwe mutanty, czyli chore i bez żadnych supermocy.
336;Te wszystkie dekoracyjne poduszki.
337;Telefon zaufania.
338;Ten gościu!
339;Teściowa.
340;Tożsamość płciowa, z którą można komunikować się tylko poprzez poezję więzienną.
341;Trzy kolejne sekundy szczęścia.
342;Trzy miesiące w dziurze.
343;Tygrys który zabił mojego ojca.
344;Tysiąc kabanosów.
345;Tabletki gwałtu.
346;Taniec godowy.
347;Terapia hormonalna.
348;Ten pas na brzuch z TV Mango.
349;Tarcie.
350;Terroryści.
351;To miejsce u mężczyzny między jądrami, a odbytem.
352;To uczucie, gdy wydaje Ci się, że to tylko beknięcie, a okazuje się, że to rzyg.
353;Tomasz Karolak.
354;Tomasz Kot.
355;Tortury.
356;Tyskie.
357;Tata odchodzący na zawsze.
358;Babcia.
359;Gluty z nosa.
360;Bakteria żywiąca się mięsem.
361;BATMAN!!!
362;Bezchmurne niebo i świecące słońce.
363;Bezczelność.
364;Bezdomni.
365;Biali ludzie.
366;Biblia.
367;Biedni ludzie.
368;Bogactwo.
369;Borys Szyc.
370;Britney Spears w wieku 55 lat.
371;Bycie bajecznie pięknym.
372;Bycie chujem w stosunku do dzieci.
373;Bycie naprawdę mocno spalonym.
374;Bycie tak złym, że aż ci staje.
375;Bycie zmarginalizowanym.
376;Banda idiotów grająca w karty, zamiast integrować się jak normalni ludzie.
377;Beznadziejna ilość pająków.
378;Bezpieczne słowo.
379;Bezwarunkowe posłuszeństwo.
380;Biała połowa Baracka Obamy.
381;Bicie żony.
382;Biczowanie nieposłusznego niewolnika.
383;Bieganie nago po centrum handlowym, sikanie i sranie wszędzie.
384;Biegunka rozpryskowa w gaciach.
385;Bilet w jedną stronę do Sosnowca.
386;Błyszczący kamień, który jest dowodem mojej miłości.
387;Borys, radziecki Młot Miłości.
388;Brak umiejętności zakładania poważnych związków.
389;Brak wspomagania reszty społeczeństwa w jakiś znaczący sposób.
390;Bycie dinozaurem.
391;Bycie dziewięciolatkiem.
392;Bycie martwym przez jakiś czas.
393;Bycie na ostrej fazie po grzybkach halucynkach.
394;Bycie niesamowitym w łóżku.
395;Bycie porwanym przez Piotrusia Pana.
396;Bycie postrzelonym, na serio.
397;Bycie sparaliżowanym od ramion w dół.
398;Bycie wielbionym jako jedyny, prawdziwy Bóg.
399;Bycie zajętym dorosłym z wieloma ważnymi rzeczami do zrobienia.
400;Bóg tak chciał.
401;Bycie złapanym przez policję i wrzuconym do więzienia.
402;Bycie przeokropną matką.
403;Beyonce.
404;Bohater bez żadnych umiejętności.
405;Walki kogutów.
406;Wąchanie kleju.
407;Whiskas®.
408;Wieczny smutek.
409;Wielki wybuch.
410;Wielkie halo o nic.
411;Wikingowie.
412;Właściwe postępowanie.
413;World of Warcraft.
414;Wpierdol.
415;Wstręt do samego siebie.
416;Wybielony odbyt.
417;Wybuch termojądrowy.
418;Wybuchy.
419;Wykorzystywanie dzieci.
420;Wymiana uprzejmości.
421;Wyruszanie w stronę zachodu słońca.
422;Wzwód trwający ponad 4 godziny.
423;W chuj dużo.
424;Walka niczym gladiatorzy.
425;Wciąganie koksu ze stojącej kuśki klauna.
426;Widzenie rzeczy z perspektywy Hitlera.
427;Wiele, wiele aborcji.
428;Wielki czarny kutas.
429;Większy, bardziej czarny kutas.
430;Wilgotna, wymagająca przepaść na jego twarzy.
431;Wkładanie kanapki z dżemem i masłem orzechowym do magnetowidu.
432;Włóczenie się, bicie ludzi.
433;Wszyscy moi przyjaciele umierają.
434;Wstrzykiwanie metamfetaminy w jedno ramię i środka na uspokojenie w drugie.
435;Wskakiwanie na ludzi.
436;Wpadanie do kibla.
437;Wszystkie samotne panie.
438;Wybuchające gołębie.
439;Wychlanie lampy z lawą.
440;Wychodzące z kibla gady, gryzące Cię kiedy robisz kupę.
441;Wykończenie w końcu wszystkich górali.
442;Wykorzystywanie bezdomnych ludzi do stworzenia ruchomych hotspotów.
443;Wyruchanie trupa z powrotem do życia.
444;Wyrwanie facetowi jąder i gałek ocznych, a następnie włożenie jąder do oczodołów i gałek ocznych do moszny.
445;Wzgardzona kobieta.
446;Wchodzenie do szafy, żeby sprawdzić czy po drugiej stronie jest Narnia.
447;Wróżbita Maciej.
448;Ważne informacje odnośnie Taylor Swift.
449;Wchodzenie w szklane drzwi.
450;Wiatr.
451;Wieczne dziewictwo.
452;Emocje.
453;Feminizm.
454;Estrogen.
455;Euphoria™ Calvina Kleina.
456;Ejakulacja żywymi pszczołami, a pszczoły są wściekłe.
457;Erekcja starszych panów.
458;Eutanazja.
459;Esmeralda - moja najpiękniejsza córeczka.
460;Faktyczne zabranie dziecku cukierka.
461;Fantazje o drwalach.
462;Finalista kangura.
463;Fundacja Polsat dzieciom.
464;Faszerowanie twarzy dziecka cukrem pudrem dopóki nie będzie mu się to podobało.
465;Fisting.
466;Foch I chuj.
467;Niesymetryczne, sztuczne piersi.
468;Nadzieja.
469;Nagły zwrot akcji.
470;Nagość.
471;Napad w bramie.
472;Napięcie seksualne.
473;Napletek.
474;Naprawdę fajny kapelusz.
475;Naruszanie podstawowych praw człowieka.
476;Nastawienie.
477;Nastoletnie ciąże.
478;Naturalna selekcja.
479;Nelli Rokita.
480;Nekrofilia.
