ID;Pytania
1;Z czego rezygnuje w czasie postu?
2;Za 1000 lat zamiast papierkowych pieniędzy będziemy używać ________.
3;Zanim Pana zabije, Panie Bond, muszę pokazać Panu ________.
4;Życie Indian zostało na zawsze odmienione, gdy biały człowiek pokazał im ________.
5;Zakochałam się w moim facecie, bo powiedział mi, żę lubi ________.
6;Zanim wystartuję w wyborach, muszę zniszczyć wszystkie dowody mojego zaangażowania w ________.
7;Z powodu ________ nie pamiętam nic z ostatniej imprezy.
8;Za czasów PRL rząd zakazał ________.
9;Za jedyne 5 zł zafundujesz ________ afrykańskim dzieciom na cały dzień.
10;Zabawa nie jest trudna, kiedy ________.
11;Zamiast swojej wizytówki wręczam ________.
12;Zostaje u Ciebie na noc. No wiesz, Netflix i ________.
13;Żona to luksus, ________ to konieczność.
14;Hej, kotku, chodźmy do mnie, pokażę ci ________.
15;Hej chcecie wypróbować nową grę? Jej nazwa to: ________.
16;Łatwo jest Cię kochać, ponieważ jesteś ________.
17;I wszystko by mi się udało gdyby nie ________.
18;Kalambury zostały dla mnie na zawsze zniszczone, kiedy moja mama musiała zaprezentować ________.
19;Ilekroć spojrzę na moje łóżko to przypomina mi się ________.
20;Ilekroć Cię widzę mam ochotę na ________.
21;KGB przesłuchuje wrogich agentów poprzez wielokrotne poddawanie ich ________.
22;Każdej wigilii, mój wujek się upija i opowiada mi historię o ________.
23;Kelner! Czy mógłby Pan zabrać tę zupę? Smakuje jak ________.
24;Kochanie Cię jest proste, ponieważ jesteś ________.
25;Komputer! Wyświetl ________ na ekranie. Powiększ!
26;Lidl wprowadził szaloną promocje na ________. Emeryci atakują!
27;Eureka! Kochanie możemy wyleczyć naszego syna geja za pomocą ________.
28;Kto zostanie następną gwiazdą porno?
29;"Moim nowym ulubionym gwiazdorem porno jest Janusz "" ________ "" Trzepiekoński."
30;Moja mama wkurzyła się, kiedy włączyła moją historię przeglądania i znalazła ________.com
31;Mój kraj, taki piękny. Słodka kraina ________.
32;Mój nauczyciel wuefu został wylany ze szkoły za dodanie ________ do toru przeszkód.
33;Mój plan dominacji nad światem zaczyna się od ________.
34;Mówi wasz kapitan. Zapnijcie pasy i przygotujcie się na ________.
35;Medycyna alternatywna zaczęła doceniać właściwości lecznicze ________.
36;Może to jej urok, a może to ________.
37;Mam szczerą nadzieję, że moja babcia nie zapyta ponownie o wyjaśnienie ________.
38;Możesz w to nie uwierzyć, ale jestem z przyszłości! Musisz powstrzymać ________.
39;Mężczyźni myślą tylko o ________.
40;Masz ________ po swojej matce.
41;Mniej znany czwarty brat bezczelnie poprosił Śmierć o ________
42;Ostatnie zatrzymanie w Hogwarcie było spowodowane własnoręcznym czyszczeniem ________
43;W lochu znajduje się ________. Myślę, że powinieneś o tym wiedzieć.
44;Profesor Trelawney przewidziała prawidłowo ________
45;Madam Trelawney zobaczyła w twojej przyszłości ________
46;Po miesiącach przygotowań myślę, że jestem już gotowy, aby spróbować ________
47;Co powoduje, że mój były kojarzy mi się z gwałtem?
48;Iść za rozsądkiem?! Dlaczego nie za ________?
49;Co tak naprawdę jest ukryte w Watykanie? ________
50;Nic nie pobudza mnie bardziej niż wspomnienie o ________
51;________ - to moje najszczęśliwsze wspomnienie.
52;________ jest prawdopodobnie moją rodziną.
53;Przykro mi profesorze, nie odrobiłem zadania domowego z powodu ________
54;Nie powinienem ukrywać przed rodziną ________ przez tak długi czas.
55;Ojciec przypominał mi, że mam imię po ________
56;Dźwięki harfy, wiatru szum. Wodo, wodo, zmień się w ________
57;To mój urok, a nie ________
58;Znakiem rozpoznawczym plemion w Aferyce jest tatuaż z ________
59;Moim największym lękiem jest ________
60;Jednym z najmniej znanych zastosowań smoczej krwi jest użycie jej w ________
61;Nowym hasłem do toalety prefektów jest ________
62;Pieniądze nie mogą kupić mi miłości, ale za to mogą mi kupić ________.
63;Pięć etapów żałoby: zaprzeczenie, gniew, bezradność, ________, akceptacja.
64;"Po miesiącach dyskusji, walne zgromadzenie przeciwników rządu zgodnie wnioskuje: ""Więcej ________!"""
65;Podczas jego kryzysu wieku średniego, mój tata poważnie zainteresował się ________.
66;Pomocy, doktorze, mam ________ w odbycie!
67;Proces leczenia rozpoczął się, gdy dołączyłem do grupy wsparcia dla ofiar ________.
68;Przygotuj się na film tego lata! Jeden porządny glina. Drugiego interesuje tylko ________.
69;Przykro mi proszę pana, ale nie zezwalamy na ________ w naszym klubie.
70;Picasso w czasie swoich twórczych eksperymentów z uproszczeniem formy stworzył setki obrazów przedstawiających ________.
71;Pije by zapomnieć o ________.
72;Po wielkiej powodzi w 2010 roku, jako pomoc, polski rząd zorganizował powodzianom ________.
73;Podczas lotu samolotem zabrania się ________.
74;Przepraszam profesorze, ale nie mogłem odrobić pracy domowej przez ________.
75;Przez co cały się kleje?
76;Przez co nie mogę spać w nocy?
77;Przez co wszystko mnie boli?
78;Przy pomocy czego polski rząd wspiera studentów z regionów wiejskich?
79;PZPN zakazał ________ bowiem dawało to graczom niesprawiedliwą przewagę.
80;Pani Prezydent, asteroida zmierza w stronę Ziemi i jedyna rzecz, która może ją zatrzymać, to ________.
81;"Polska marynarka wojenna zwodowała lotniskowiec ORP ""________"""
82;"Polska: ""________ Europy"""
83;Polski rząd wprowadził nowy przedmiot szkolny, a jest nim ________.
84;Porozmawiaj ze swoim lekarzem o możliwych skutkach ubocznych stosowania ________.
85;Potem księżniczka pocałowała żabę, która okazała się ________.
86;Pół wieku temu ludzie nie pomyśleliby że ________ uratuje świat.
